Author,Mapped Genres
patrisse khan-cullors,"young adult, audiobook, african american, mental health, politics, race, historical"
lord emery,"young adult, romance, contemporary, mental health, fiction, mental health, realistic fiction"
sarah gailey,"fantasy, young adult, lgbt, queer, fiction, lesbian, witches"
tae keller,"middle grade, fantasy, magic, fiction, audiobook, childrens, family"
julie otsuka,"historical, fiction, japan, historical, world war ii, school, war"
mclemore anna-marie,"fantasy, young adult, magic, lgbt, queer, romance, fiction"
norton preston,"young adult, romance, contemporary, lgbt, fantasy, fiction, magic"
gayle forman,"young adult, romance, contemporary, fiction, realistic fiction, music, new adult"
rocha lucas,"lgbt, contemporary, young adult, queer, fiction, romance, audiobook"
lucas rocha,"lgbt, contemporary, young adult, queer, fiction, romance, audiobook"
trish doller,"young adult, contemporary, romance, realistic fiction, fiction, young adult, new adult"
geraldine mccaughrean,"historical, young adult, fiction, historical, adventure, survival, scotland"
r. koontz dean,"horror, fiction, thriller, mystery, suspense, mystery, supernatural"
peggy roberts,horror
wersba barbara,"lgbt, young adult, romance, realistic fiction, queer"
m. steele claude,"non-fiction, psychology, education, race, social, social, science"
r. j. palacio,"graphic novel, historical, middle grade, young adult, holocaust, fiction, historical"
holly black,"fantasy, young adult, urban, paranormal, magic, fiction, mystery"
brown sandra,"romance, romance, mystery, suspense, fiction, thriller, contemporary"
caleb roehrig,"mystery, young adult, lgbt, thriller, fiction, romance, mystery"
buckley jr. james,"biography, non-fiction, sports, childrens, , biography, middle grade"
roberta edwards,"biography, non-fiction, historical, childrens, politics, biography, presidents"
gail herman,"non-fiction, biography, sports, historical, baseball, childrens, biography"
true kelley,"biography, non-fiction, childrens, music, middle grade, historical, biography"
brown dinah,"biography, non-fiction, childrens, historical, middle grade, chapter books, kids"
stine megan,"biography, non-fiction, historical, childrens, biography, education, african american"
stine megan,"biography, non-fiction, historical, childrens, middle grade, biography, american"
dana meachen rau,"non-fiction, biography, historical, childrens, buddhism, religion, india"
morgan parker,"young adult, contemporary, mental health, fiction, realistic fiction, mental health, audiobook"
andrs miedoso,"chapter books, childrens"
nico medina,"non-fiction, biography, childrens, chapter books, historical, juvenile"
rau dana meachen,"biography, non-fiction, childrens, historical, biography, chapter books, middle grade"
b. pascal janet,"biography, non-fiction, childrens, historical, middle grade, chapter books, biography"
gare thompson,"biography, non-fiction, historical, childrens, chapter books, american, politics"
geoff edgers,"biography, non-fiction, historical, childrens, music, chapter books, biography"
sarah fabiny,"non-fiction, biography, art, historical, childrens, middle grade, audiobook"
rau dana meachen,"biography, non-fiction, historical, childrens, historical, audiobook, civil war"
buckley jr. james,"biography, non-fiction, historical, sports, childrens, african american, historical"
pam pollack,"biography, non-fiction, childrens, historical, middle grade, juvenile, womens"
gourley catherine,"biography, non-fiction, historical, native american, childrens, audiobook, picture books"
megan stine,"biography, non-fiction, historical, science, childrens, middle grade, audiobook"
ellen labrecque,"biography, non-fiction, childrens, historical, middle grade, biography"
ellen labrecque,"biography, non-fiction, childrens, historical, middle grade, biography"
sarah fabiny,"biography, non-fiction, science, nature, historical, childrens, middle grade"
zeldis mcdonough yona,"biography, historical, non-fiction, childrens, african american, american, biography"
fradin dennis brindell,"biography, non-fiction, historical, childrens, american, american, historical"
beverly daniel tatum,"non-fiction, race, education, social, anti racist, psychology, social"
daniel handler,"young adult, romance, contemporary, fiction, realistic fiction, teen, young adult"
gregory maguire,"fantasy, fiction, adult, retellings, audiobook, witches, classics"
david levithan,"young adult, lgbt, fiction, romance, politics, queer, realistic fiction"
jean rhys,"classics, fiction, historical, historical, , literary fiction, feminism"
j. fennell saraciea,"short stories, young adult, poetry, anthology, audiobook, essays, lgbt"
lu marie,"young adult, science fiction, fantasy, dystopia, romance, fiction, audiobook"
andrew simonet,"young adult, contemporary, fiction, realistic fiction, romance, humor, family"
j. c. geiger,"young adult, contemporary, fiction, romance, realistic fiction, coming of age, young adult"
boyd maria,"young adult, contemporary, lgbt, realistic fiction, romance, humor, teen"
tim floreen,"young adult, lgbt, science fiction, romance, dystopia, queer, m m romance"
doreen rappaport,"biography, picture books, non-fiction, historical, indigenous, childrens, native american"
myers christopher,"picture books, fiction, childrens, fantasy, cultural, poetry, kids"
meyer marissa,"young adult, science fiction, romance, retellings, dystopia, fiction, audiobook"
frame jeron ashford,"picture books, christmas, holiday, family, childrens, cultural, fiction"
robert jordan,"fantasy, fiction, epic, audiobook, high fantasy, science fiction, epic"
anderson laurie halse,"young adult, fiction, contemporary, mental health, realistic fiction, mental health, teen"
brian farrey,"lgbt, young adult, romance, realistic fiction, contemporary, gay, queer"
eva gray,"dystopia, young adult, middle grade, science fiction, childrens, survival, post apocalyptic"
hoover colleen,"romance, young adult, contemporary, fiction, new adult, audiobook, mental health"
king stephen,"fantasy, fiction, horror, science fiction, audiobook, westerns, adventure"
l. browne mahogany,"poetry, picture books, middle grade, social, non-fiction, childrens, "
andrea robertson,"young adult, fantasy, paranormal, werewolves, romance, paranormal, supernatural"
king stephen,"fantasy, fiction, horror, science fiction, audiobook, westerns, adventure"
r.j. palacio,"fiction, young adult, middle grade, contemporary, realistic fiction, childrens, school"
leigh bardugo,"fantasy, young adult, superheroes, fiction, mythology, audiobook, retellings"
barzak christopher,"lgbt, fantasy, young adult, magic, queer, fiction, romance"
kate bassett,"young adult, contemporary, realistic fiction, fiction, romance, family, death"
amy ignatow,"middle grade, graphic novel, realistic fiction, humor, childrens, juvenile, teen"
a. nielsen jennifer,"historical, middle grade, historical, young adult, fiction, audiobook, adventure"
lee child,"thriller, fiction, mystery, crime, suspense, action, audiobook"
e. r. frank,"young adult, realistic fiction, fiction, death, teen, contemporary, tragedy"
diana gabaldon,"historical, romance, fiction, fantasy, time travel, historical, historical"
claire lazebnik,"young adult, romance, retellings, contemporary, chick lit, young adult, contemporary"
emily bronte,"fiction, gothic, historical, , historical, , 19th century"
scott brown,"young adult, contemporary, fiction, humor, magic, realistic fiction, teen"
card orson scott,"science fiction, fiction, fantasy, science fiction, young adult, audiobook, space"
lensey namioka,"fiction, childrens, realistic fiction, baseball, cultural, middle grade, music"
meg medina,"young adult, realistic fiction, fiction, contemporary, teen, audiobook, family"
saadia faruqi,"picture books, childrens, fiction, chapter books, school, juvenile, realistic fiction"
saadia faruqi,"picture books, childrens, fiction, food, juvenile, realistic fiction, family"
saadia faruqi,"realistic fiction, childrens, picture books, family, chapter books, muslims, fashion"
faruqi saadia,"fiction, childrens, realistic fiction, picture books"
saadia faruqi,"childrens, picture books, chapter books, fiction"
faruqi saadia,"childrens, picture books, school, fiction, chapter books, books about books, realistic fiction"
saadia faruqi,"picture books, art, childrens, realistic fiction, school, fiction, kids"
faruqi saadia,"picture books, childrens, chapter books, fiction"
saadia faruqi,"picture books, chapter books, childrens, science, realistic fiction"
saadia faruqi,"childrens, picture books"
faruqi saadia,"childrens, picture books, sports, chapter books, muslims"
saadia faruqi,"picture books, chapter books, realistic fiction, childrens, fiction, juvenile, superheroes"
faruqi saadia,"picture books, childrens, fiction, juvenile, chapter books"
brooks geraldine,"historical, fiction, historical, british literature, audiobook, book club, adult"
becky albertalli,"romance, young adult, contemporary, fiction, audiobook, realistic fiction, young adult"
l. snchez erika,"young adult, fiction, contemporary, realistic fiction, audiobook, mental health, coming of age"
h.k. choi mary,"fiction, contemporary, young adult, mental health, romance, audiobook, new adult"
alex sanchez,"graphic novel, lgbt, young adult, comic book, romance, fantasy, queer"
david klass,"young adult, fiction, realistic fiction, abuse, contemporary, teen, high school"
von ziegesar cecily,"young adult, chick lit, fiction, contemporary, high school, romance, teen"
nina lacour,"young adult, lgbt, contemporary, romance, queer, fiction, lesbian"
robinson christian,"picture books, childrens, storytime, fiction, poetry, inspirational, cultural"
leno katrina,"young adult, contemporary, magic, fantasy, horror, fiction, young adult"
leah johnson,"young adult, lgbt, romance, contemporary, audiobook, queer, fiction"
kris dinnison,"young adult, lgbt, contemporary, romance, realistic fiction, high school, young adult"
kylie schachte,"mystery, young adult, thriller, lgbt, mystery, contemporary, fiction"
von ziegesar cecily,"young adult, chick lit, contemporary, fiction, romance, teen, high school"
kepnes caroline,"thriller, fiction, mystery, mystery, contemporary, audiobook, adult"
kepnes caroline,"thriller, fiction, mystery, mystery, contemporary, audiobook, adult"
jamia wilson,"non-fiction, biography, historical, picture books, childrens, middle grade, african american"
jamilah thompkins-bigelow,"picture books, childrens, realistic fiction, cultural, school, family, fiction"
penne barbra,"non-fiction, lgbt"
napoli donna jo,"fantasy, young adult, fairy tales, retellings, fiction, romance, fairy tales"
jordan sonnenblick,"young adult, realistic fiction, fiction, humor, middle grade, teen, contemporary"
wendy brant,"romance, young adult, contemporary, fantasy, paranormal, magic, young adult"
david baldacci,"thriller, fiction, mystery, audiobook, crime, suspense, mystery"
peters julie anne,"lgbt, young adult, short stories, queer, fiction, lesbian, romance"
lauren myracle,"young adult, fiction, contemporary, realistic fiction, chick lit, , romance"
lauren myracle,"young adult, fiction, contemporary, realistic fiction, chick lit, , romance"
lauren myracle,"young adult, fiction, realistic fiction, contemporary, chick lit, romance, teen"
